phase,stepId,title,status,mode,writes,script,outputs,reportGeneratedAt,reportPath
audit,ui-consolidation-guardrail,Run UI consolidation guardrail,passed,automatic,false,check:ui-consolidation,docs/ui-consolidation/scan-latest.md|docs/ui-consolidation/scan-latest.json|docs/ui-consolidation/inventory-latest.csv,2026-05-10T01:05:02.191Z,artifacts/improvements/audit-report.json
plan,ui-consolidation-plan,Review the latest shared UI convergence surface,manual,manual,false,,,2026-05-09T23:06:54.268Z,artifacts/improvements/plan-report.json
apply,ui-consolidation-apply,Apply UI consolidation changes through targeted feature migrations,manual,manual,true,,,2026-04-15T10:54:26.139Z,artifacts/improvements/apply-report.json
