phase,stepId,title,status,mode,writes,script,outputs,reportGeneratedAt,reportPath
audit,repo-quality-api-error-sources,Check API error source coverage,passed,automatic,false,check:api-error-sources,docs/metrics/api-error-sources-latest.json|docs/metrics/api-error-sources-latest.md,2026-04-15T10:54:08.335Z,artifacts/improvements/audit-report.json
audit,repo-quality-canonical-sitewide,Check canonical sitewide coverage,passed,automatic,false,canonical:check:sitewide,,2026-04-15T10:54:08.335Z,artifacts/improvements/audit-report.json
classify,repo-quality-lint,Run source lint baseline,failed,automatic,false,quality:baseline:lint,,2026-04-15T10:36:23.126Z,artifacts/improvements/classify-report.json
classify,repo-quality-typecheck,Run typecheck baseline,failed,automatic,false,quality:baseline:typecheck,,2026-04-15T10:36:23.126Z,artifacts/improvements/classify-report.json
plan,repo-quality-baseline-plan,Review baseline results and decide follow-up validation,manual,manual,false,,,2026-04-15T10:36:23.624Z,artifacts/improvements/plan-report.json
dry-run,repo-quality-api-error-sources,Check API error source coverage,passed,automatic,false,check:api-error-sources,docs/metrics/api-error-sources-latest.json|docs/metrics/api-error-sources-latest.md,2026-03-14T08:13:11.213Z,artifacts/improvements/dry-run-report.json
dry-run,repo-quality-canonical-sitewide,Check canonical sitewide coverage,passed,automatic,false,canonical:check:sitewide,,2026-03-14T08:13:11.213Z,artifacts/improvements/dry-run-report.json
apply,repo-quality-baseline-apply,Apply repo-wide quality fixes manually,manual,manual,true,,,2026-04-15T10:54:26.139Z,artifacts/improvements/apply-report.json
