phase,stepId,title,status,mode,writes,script,outputs,reportGeneratedAt,reportPath
classify,image-studio-product-failure-classification,Classify Product Studio failures by integration boundary,manual,manual,false,,,2026-04-30T09:41:39.301Z,artifacts/improvements/classify-report.json
dry-run,image-studio-product-regression-tests,Run Product modal and Image Studio integration regression tests,passed,automatic,false,test:image-studio-product,,2026-04-30T04:59:45.752Z,artifacts/improvements/dry-run-report.json
